ROS2_Clock,Topic_Name,Data_Keys,Value_0,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8
1776371408961376584,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.131758,-0.064491,9.331319,-0.000048,0.003432,0.001195,-0.002058,0.161854,-0.004878
1776371408965139140,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.134133,-0.057362,9.326550,-0.001119,0.002238,-0.003636,-0.002107,0.161843,-0.004890
1776371408969168554,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.136509,-0.052612,9.319398,0.002630,0.000178,-0.000400,-0.002055,0.161849,-0.004883
1776371408969720764,/encoders,"encoder_left,encoder_right",0,347
1776371408970238669,/motor_speed,speed_setting,11
1776371408971063913,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.143635,-0.052641,9.307487,0.001022,0.000679,-0.001478,-0.002052,0.161855,-0.004883
1776371408976393081,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.146085,-0.055044,9.305118,0.001025,0.000230,0.003355,-0.002099,0.161858,-0.004887
1776371408977433916,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.150836,-0.057442,9.302746,0.001558,-0.000346,0.001207,-0.002049,0.161869,-0.004878
1776371408979686503,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.155587,-0.059841,9.307530,0.000488,-0.000361,0.001206,-0.002092,0.161891,-0.004884
1776371408983101144,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.150836,-0.062201,9.309904,-0.000581,-0.000949,-0.000403,-0.002044,0.161882,-0.004877
